AnnualAverageWaterLevel,AnnualMaximumDailyWaterLevel,AnnualMaximumMomentWaterLevel,AnnualMinimumDailyWaterLevel,AnnualMinimumMomentWaterLevel,AnnualOccurredDateOfMaximumDailyWaterLevel,AnnualOccurredDateOfMinimumDailyWaterLevel,AnnualOccurredTimeOfMaximumMomentWaterLevel,AnnualOccurredTimeOfMinimumMomentWaterLevel,WellIdentifier,Year
"-1.65","-0.51","-0.49","-2.62","-2.63","1001","0301","100101","022609","01140111","2019"
"-5.70","-0.33","0.00","-10.24","-10.38","0309","0519","113024","051916","01140121","2005"
"-12.38","-8.88","-8.78","-15.86","-15.94","1231","0829","123123","082911","01140121","2006"
"-7.01","-4.00","-3.92","-12.21","-12.29","0626","1231","062622","123124","01140121","2007"
"-7.61","-2.69","-2.60","-13.88","-13.96","1021","0308","102712","030808","01140121","2008"
"-3.08","-1.74","-1.66","-4.48","-4.56","1110","0704","111019","070417","01140121","2009"
"-6.46","-1.00","-0.94","-14.01","-14.06","0223","1231","022307","123103","01140121","2010"
"-9.57","-5.78","-5.71","-14.05","-29.29","1003","0101","100116","110103","01140121","2011"
"-14.44","-8.06","-7.98","-16.60","-16.70","0101","0731","010106","073118","01140121","2012"
"-4.92","-1.38","-1.30","-11.78","-11.85","1230","0101","122911","010110","01140121","2013"
"-1.43","-0.45","-0.29","-2.50","-2.67","0726","0329","072601","051419","01140121","2014"
"-1.47","-0.53","-0.47","-2.17","-2.25","0226","0807","022619","080712","01140121","2015"
"-1.36","-0.33","-0.24","-2.60","-2.68","0725","0429","072505","042924","01140121","2016"
"-1.96","-0.39","-0.29","-9.55","-9.64","0710","1223","071103","122411","01140121","2017"
"-2.61","-0.77","-0.67","-9.26","-9.36","1106","0101","110613","010107","01140121","2018"
"-8.17","-3.40","-3.34","-11.06","-11.15","0101","0616","010110","061619","01140121","2019"
"-13.31","-11.41","-11.32","-16.47","-15.05","0406","0108","040608","012910","011411T2","1994"
"-13.24","-10.65","-10.57","-15.10","-15.22","0207","1007","020704","100717","011411T2","1995"
"-9.89","-8.18","-8.09","-13.32","-13.47","1230","0101","123003","010101","011411T2","1996"
"-8.01","-6.62","-6.52","-8.67","-8.77","0213","1025","021304","102515","011411T2","1997"
"-7.21","-6.27","-6.18","-8.41","-8.52","0203","0101","020304","010107","011411T2","1998"
"-13.77","-12.54","-12.45","-14.69","-14.69","1231","0925","123110","092601","01150111","1992"
"-14.30","-9.90","-9.85","-18.81","-18.86","0129","1224","012910","122421","01150111","1993"
"-15.35","-12.80","-12.73","-18.54","-18.75","0406","0101","040611","010101","01150111","1994"
"-15.14","-11.95","-11.90","-17.16","-17.23","0206","1007","020608","100721","01150111","1995"
"-11.95","-9.81","-9.76","-15.13","-15.27","1230","0112","123008","010101","01150111","1996"
"-9.35","-7.67","-7.64","-10.02","-10.05","0212","0201","021209","020122","01150111","1997"
"-8.19","-6.72","-6.67","-9.70","-9.85","0202","0101","020209","010101","01150111","1998"
"-7.08","-5.26","-5.21","-8.30","-8.34","0222","0612","022208","061221","01150111","1999"
"-6.38","-4.18","-4.18","-7.34","-7.51","0210","1021","020918","102116","01150111","2000"
"-5.77","-4.25","-4.16","-7.31","-7.93","0129","0429","012906","042814","01150111","2001"
"-5.42","-3.78","-3.75","-6.22","-6.24","0218","0119","021806","011913","01150111","2002"
"-5.56","-3.48","-3.46","-6.96","-6.99","0207","1227","020708","122624","01150111","2003"
"-6.59","-4.97","-4.93","-9.45","-9.50","0128","1112","012808","111220","01150111","2004"
"-7.39","-5.36","-5.30","-9.57","-10.39","0301","0503","030709","050312","01150111","2005"
"","-999998.00","-999998.00","-999998.00","-999998.00","","","","","01150111","2006"
"","-999998.00","-999998.00","-999998.00","-999998.00","","","","","01150111","2007"
"-1.76","-1.45","-1.40","-2.03","-2.05","1111","1226","111111","122618","01150111","2008"
"-3.04","-1.21","-1.18","-6.64","-6.67","1012","0314","100815","031405","01150111","2009"
"-2.15","-1.16","-1.11","-3.61","-3.97","0221","0519","022207","051923","01150111","2010"
"-2.33","-1.87","-1.74","-3.03","-16.66","0629","1030","062616","052211","01150111","2011"
"-1.77","-1.29","-1.24","-2.69","-2.73","1212","0101","050221","010123","01150111","2012"
"-2.68","-1.49","-1.43","-3.67","-3.74","0101","1129","010203","121414","01150111","2013"
"-2.16","-1.05","-1.00","-3.69","-3.72","1013","0127","101316","012903","01150111","2014"
"-2.06","-0.78","-0.68","-2.90","-2.92","0224","0807","022408","080621","01150111","2015"
"-1.93","-0.78","-0.65","-3.39","-9.91","0711","0429","071115","100109","01150111","2016"
"-2.39","-0.75","-0.73","-9.46","-9.93","0710","1223","071004","091410","01150111","2017"
"-2.99","-1.17","0.00","-9.07","-9.79","1105","0101","041718","042610","01150111","2018"
"-3.60","-1.35","-1.17","-9.81","-9.82","0706","0315","070218","031807","01150111","2019"
"-14.20","-12.97","-12.93","-15.03","-15.08","1228","0925","122809","092621","01150121","1992"
"-14.63","-10.88","-10.82","-18.95","-18.98","0129","1224","020108","122420","01150121","1993"
"-15.50","-13.25","-13.19","-18.78","-18.93","0406","0101","040612","010101","01150121","1994"
"-15.08","-12.65","-12.57","-17.07","-17.13","0206","0708","020607","070821","01150121","1995"
"-11.33","-9.52","-9.40","-14.63","-14.72","1230","0112","123007","011314","01150121","1996"
"-9.34","-8.01","-7.96","-9.84","-9.92","0217","0828","021621","102413","01150121","1997"
"-8.42","-7.43","-7.37","-9.69","-9.79","0204","0110","020408","010101","01150121","1998"
"-7.61","-6.14","-6.11","-8.62","-8.67","0222","0612","022206","061220","01150121","1999"
"-6.65","-4.98","-4.95","-7.40","-7.43","0211","0805","021104","080521","01150121","2000"
"-6.20","-4.95","-4.93","-7.11","-7.14","0129","0331","012907","032321","01150121","2001"
"-6.10","-5.31","-5.29","-7.43","-7.45","1230","0125","090915","012518","01150121","2002"
"-5.72","-3.94","-3.92","-6.98","-7.01","0210","1227","021007","122624","01150121","2003"
"-6.87","-5.35","-5.33","-9.27","-9.31","0128","1112","012808","111220","01150121","2004"
"-7.37","-5.37","-5.34","-9.16","-9.19","0307","0430","030711","043001","01150121","2005"
"","-999998.00","-999998.00","-999998.00","-999998.00","","","","","01150121","2006"
"","-999998.00","-999998.00","-999998.00","-999998.00","","","","","01150121","2007"
"-3.44","-2.99","-2.96","-3.97","-4.02","1110","1226","111010","122619","01150121","2008"
"-3.70","-2.32","-2.29","-5.22","-5.27","1228","0709","122808","070920","01150121","2009"
"-6.78","-1.39","-1.37","-14.00","-14.03","0220","1231","022005","123117","01150121","2010"
"-9.87","-6.17","-6.09","-14.00","-16.96","1003","0107","100305","052211","01150121","2011"
"-14.49","-8.25","-8.20","-16.57","-16.61","0101","0811","010108","081121","01150121","2012"
"-5.35","-2.43","-2.40","-11.72","-11.76","1231","0101","123104","010101","01150121","2013"
"-2.45","-1.85","-1.83","-2.92","-2.95","0205","0516","020606","051618","01150121","2014"
"-2.51","-1.83","-1.78","-3.61","-3.63","0713","0122","071412","011803","01150121","2015"
"-1.92","-1.08","-0.92","-2.79","-12.01","0927","0310","092720","042910","01150121","2016"
"-2.30","-1.57","-1.52","-3.36","-11.94","1121","0914","112117","091410","01150121","2017"
"-1.73","-1.20","-1.17","-3.25","-11.95","0219","1231","021816","042610","01150121","2018"
"-6.68","-1.97","-1.90","-11.04","-11.94","0116","0607","011619","040414","01150121","2019"
"-4.84","-4.37","-4.35","-5.40","-5.42","1111","1227","111111","122709","01150131","2008"
"-5.14","-3.75","-3.72","-6.66","-6.69","1110","0627","111006","062624","01150131","2009"
"-9.03","-2.96","-2.94","-16.13","-16.16","0221","1224","022117","122421","01150131","2010"
"-11.66","-7.77","-7.74","-16.12","-17.57","1003","0101","100310","052213","01150131","2011"
"-15.12","-9.53","-9.47","-17.85","-17.90","1231","0702","123124","070218","01150131","2012"
"-6.82","-3.83","-3.80","-13.88","-13.92","1231","0101","123114","010101","01150131","2013"
"-3.16","-2.41","-2.39","-4.03","-4.05","1013","0322","101306","032808","01150131","2014"
"-3.38","-2.33","-2.27","-4.16","-4.18","0225","0807","022408","080703","01150131","2015"
"-3.32","-2.27","-2.17","-4.98","-14.00","0711","0429","071115","042910","01150131","2016"
"-3.90","-2.24","-2.14","-11.54","-14.00","0711","1223","060213","091410","01150131","2017"
"-4.57","-2.65","0.00","-11.11","-14.00","1105","0101","030112","042610","01150131","2018"
"-9.93","-5.53","-5.50","-12.79","-12.81","0101","0607","010101","060624","01150131","2019"
"3.82","5.15","5.17","2.58","2.54","1229","0729","123005","073015","02010111","1994"
"4.40","5.64","5.90","3.05","3.02","0808","0422","121918","042220","02010111","1995"
"4.69","6.36","6.24","3.16","2.81","0201","0719","013123","071923","02010111","1996"
"4.87","5.61","5.66","3.81","3.73","0908","0807","090801","080710","02010111","1997"
"5.09","6.15","6.22","3.93","3.77","1026","0821","102606","082120","02010111","1998"
"5.42","5.89","5.92","5.11","4.95","1018","0409","101905","030519","02010111","1999"
"4.63","6.03","6.06","2.68","2.46","1109","0630","122006","062420","02010111","2000"
"5.62","6.13","6.15","5.11","4.87","0926","0403","092615","041811","02010111","2001"
"5.64","6.02","6.22","5.28","4.93","0710","0315","033115","031514","02010111","2002"
"5.44","6.02","6.04","4.16","3.78","1127","0812","112618","073122","02010111","2003"
"5.81","6.23","6.25","5.28","2.63","1204","0302","120404","050222","02010111","2004"
"5.96","6.30","6.32","5.66","5.21","1009","0715","100816","061611","02010111","2005"
"5.30","6.15","6.18","3.99","3.97","0125","1031","012421","102414","02010111","2006"
"5.46","6.28","6.29","4.23","4.01","1127","0211","112704","021518","02010111","2007"
"5.29","6.45","6.52","3.36","3.01","0914","1227","091409","122713","02010111","2008"
"4.55","5.81","5.83","3.59","3.26","0801","0118","080111","011815","02010111","2009"
"5.45","5.85","5.90","4.38","4.31","0628","0806","062806","080619","02010111","2010"
"5.73","6.04","6.06","5.09","4.85","1116","1026","111615","102616","02010111","2011"
"5.81","6.27","6.30","5.48","5.17","0802","0924","080206","092408","02010111","2012"
"5.85","6.20","6.24","5.35","-0.06","1216","0401","121608","040111","02010111","2013"
"5.89","6.09","6.14","5.59","5.48","0507","1111","021003","111113","02010111","2014"
"5.84","6.22","6.24","5.48","5.43","1104","1207","110407","123111","02010111","2015"
"5.14","5.70","5.71","4.14","0.00","0314","1101","031407","073124","02010111","2016"
"5.24","5.94","5.95","4.66","4.52","1015","0307","101408","072812","02010111","2017"
"5.21","5.94","5.97","4.60","4.38","1103","0413","110305","042802","02010111","2018"
"5.10","5.89","5.91","4.16","3.96","0103","1027","010304","102715","02010111","2019"
"7.36","7.87","7.88","6.88","6.85","1104","0210","110414","020922","02010121","1994"
"7.20","7.81","7.83","6.74","6.72","0301","1006","030215","100609","02010121","1995"
"7.13","7.61","7.63","6.74","6.71","0523","0622","052918","062207","02010121","1996"
"7.15","7.39","7.41","6.72","6.71","0623","0517","062408","051717","02010121","1997"
"7.30","7.84","7.87","6.85","6.81","1128","0827","112806","010621","02010121","1998"
"7.45","7.68","7.69","7.17","7.16","0118","0410","011806","041007","02010121","1999"
"7.84","8.15","8.17","7.30","7.26","1122","1003","112407","100321","02010121","2000"
"7.98","8.51","8.54","7.66","7.64","0618","0827","062105","082701","02010121","2001"
"7.88","8.24","8.25","7.59","7.56","0809","0314","080917","031420","02010121","2002"
"7.95","8.40","8.41","7.42","7.33","1201","0131","120111","072509","02010121","2003"
"8.29","8.78","8.80","7.77","7.73","1229","0810","123006","081021","02010121","2004"
"8.64","8.91","8.93","8.30","8.28","0911","0716","091107","071520","02010121","2005"
"8.56","9.13","9.15","7.81","7.78","0610","1024","061102","102522","02010121","2006"
"8.44","8.96","8.96","7.52","7.45","1111","0805","111105","080523","02010121","2007"
"8.50","8.73","8.75","7.95","7.90","0228","0922","022817","092212","02010121","2008"
"8.36","8.78","8.79","7.86","7.83","1016","0831","101612","083121","02010121","2009"
"8.38","8.78","8.79","7.66","7.62","1121","0916","112103","091521","02010121","2010"
"8.48","8.94","8.97","7.88","7.82","1215","0818","122113","081722","02010121","2011"
"8.66","9.15","9.19","8.07","8.03","0621","1022","062114","102223","02010121","2012"
"8.50","8.84","8.86","8.08","7.14","1225","0918","122513","040112","02010121","2013"
"8.56","8.90","8.96","8.18","8.14","0616","0920","061611","091923","02010121","2014"
"8.63","9.34","9.35","8.14","8.09","1104","0805","110407","080523","02010121","2015"
"8.08","8.35","8.36","7.58","7.54","1211","0731","121104","090324","02010121","2016"
"7.99","8.42","8.43","7.39","7.35","1218","0927","121817","092708","02010121","2017"
"8.15","8.57","8.58","7.50","0.00","1107","0527","112609","052703","02010121","2018"
"8.50","8.83","8.83","8.22","8.21","0605","0925","060405","092507","02010121","2019"
"1.99","3.55","3.60","1.17","1.37","1220","0821","122001","100611","02030111","2000"
"1.65","3.22","3.23","1.21","1.20","0106","0825","010520","082608","02030111","2001"
"1.36","1.99","1.99","1.06","1.06","1026","0625","102604","062412","02030111","2002"
"1.36","2.30","2.31","0.96","0.96","1129","0830","112903","082919","02030111","2003"
"1.38","2.14","2.14","1.01","1.00","1205","0809","120413","081021","02030111","2004"
"1.62","2.32","2.32","1.20","1.19","1010","0715","101002","071616","02030111","2005"
"1.65","2.37","2.38","1.32","1.31","0126","0905","012602","090519","02030111","2006"
"1.69","2.89","2.92","1.20","1.19","1127","0805","112717","080616","02030111","2007"
"1.62","2.39","2.39","1.23","1.22","0929","0831","092901","090817","02030111","2008"
"1.54","3.14","3.20","1.03","1.02","1014","0731","101320","083110","02030111","2009"
"1.40","3.72","3.82","0.95","0.95","1022","0804","102209","080407","02030111","2010"
"1.51","2.55","2.58","0.97","0.96","1118","0826","111717","082618","02030111","2011"
"1.61","2.48","2.49","1.20","1.19","0803","0921","080218","092306","02030111","2012"
"1.50","2.47","2.48","0.95","0.95","0113","0815","011301","081505","02030111","2013"
"1.38","2.03","2.06","0.99","0.99","0101","0919","010101","091815","02030111","2014"
"1.58","2.61","2.65","1.06","1.05","1106","0803","110605","080514","02030111","2015"
"1.44","2.39","2.48","0.97","0.96","1126","0825","102114","090319","02030111","2016"
"1.41","2.46","2.50","0.97","0.96","1204","0513","120308","051509","02030111","2017"
"1.36","2.48","2.48","0.78","0.00","1216","0605","101402","103124","02030111","2018"
"1.48","3.08","3.12","1.01","1.01","0103","0709","010314","070908","02030111","2019"
"1.98","3.17","3.24","1.20","1.26","1114","0821","111401","100217","02030211","2000"
"1.82","2.66","2.68","1.07","1.06","0106","0826","010519","082608","02030211","2001"
"1.26","1.91","1.92","0.71","0.65","0101","0829","010101","091618","02030211","2002"
"1.22","2.34","2.35","0.70","0.70","1118","0829","111721","082911","02030211","2003"
"1.42","2.14","2.14","0.93","0.92","1208","0822","120724","082310","02030211","2004"
"1.85","2.38","2.38","1.36","1.35","1010","0509","100917","050912","02030211","2005"
"1.84","2.56","2.56","1.45","1.40","0205","0907","020421","082116","02030211","2006"
"1.80","3.08","3.12","1.14","1.13","1127","0603","112715","053109","02030211","2007"
"1.72","2.36","2.37","1.03","1.01","1110","0907","111007","090809","02030211","2008"
"1.70","3.33","3.38","0.91","0.88","1014","0828","101214","082809","02030211","2009"
"1.27","3.23","3.24","-1.13","-1.16","1231","1119","123119","111903","02030211","2010"
"2.28","3.00","3.04","1.28","1.26","0825","1215","082617","122002","02030211","2011"
"2.18","3.04","3.04","1.56","1.22","0803","0101","080306","091016","02030211","2012"
"2.06","2.83","2.83","1.49","0.56","0113","0411","011301","041101","02030211","2013"
"1.40","2.27","2.28","0.74","0.71","0101","0919","010101","091910","02030211","2014"
"1.67","2.60","2.62","0.98","0.97","1106","0806","110412","080510","02030211","2015"
"1.60","2.41","2.44","1.00","0.99","1212","0902","121118","090308","02030211","2016"
"1.55","2.59","2.62","1.00","0.95","1220","0831","122004","090111","02030211","2017"
"1.40","2.51","2.52","0.42","0.41","0131","1010","013102","091002","02030211","2018"
"1.61","3.00","3.07","0.60","-6.40","0103","0314","010314","031413","02030211","2019"
"5.22","5.37","5.42","5.05","4.91","1105","1001","110109","101109","02030221","2000"
"5.15","5.38","5.40","5.03","4.99","0106","1214","010517","121409","02030221","2001"
"5.05","5.16","5.29","4.97","4.85","0516","1003","051512","062508","02030221","2002"
"5.01","5.22","5.24","4.87","4.85","1129","1002","112905","100224","02030221","2003"
"5.05","5.31","5.33","4.91","4.89","1204","0531","120402","060108","02030221","2004"
"5.26","5.51","5.54","5.16","5.12","0718","0211","071815","021121","02030221","2005"
"5.15","5.31","5.34","4.94","4.92","0112","1229","011209","122921","02030221","2006"
"4.93","5.35","5.46","3.07","3.03","1127","1231","100614","123124","02030221","2007"
"4.24","11.06","11.06","-1.22","-1.46","0805","0131","080408","013124","02030221","2008"
"4.13","4.98","4.98","3.14","-6.06","0101","0702","010101","070216","02030221","2009"
"3.96","4.30","4.33","3.65","3.63","1022","0922","102215","092121","02030221","2010"
"4.13","4.30","4.38","3.89","3.86","1207","0922","120714","092209","02030221","2011"
"4.23","4.53","4.56","4.07","4.03","0802","1023","080215","102107","02030221","2012"
